,caseID,taskID,originator,eventtype,date,time
0,419,InformClientSurvey,System,complete,2020-01-06,11:51
1,561,ArrangeSurvey,Monica,complete,2020-01-07,13:48
2,902,ReadyInformClient,System,complete,2020-01-08,16:20
4,852,Survey,Edd,complete,2020-01-10,11:33
5,450,TicketReady,System,complete,2020-01-11,21:48
6,521,MakeTicket,Dian,complete,2020-01-12,20:30
10,460,ArrangeSurvey,Dian,complete,2020-01-16,8:37
11,870,TicketReady,System,complete,2020-01-17,15:49
13,516,FirstContact,Dian,complete,2020-01-19,12:40
14,325,RepairReady,System,complete,2020-01-20,20:00
15,752,SendTicketToFinAdmin,System,complete,2020-01-21,13:38
17,447,FirstContact,Monica,complete,2020-01-23,22:19
18,863,SendTicketToFinAdmin,System,complete,2020-01-24,0:21
19,882,FirstContact,Dian,complete,2020-01-25,11:37
21,100,ArrangeSurvey,Monica,complete,2020-01-27,23:21
23,533,TicketReady,System,complete,2020-01-29,22:14
25,545,InformClientSurvey,System,complete,2020-01-31,5:59
28,809,InformClientWrongPlace,Dian,complete,2020-02-03,7:43
30,254,InformClientSurvey,System,complete,2020-02-05,22:56
32,708,InternRepair,Cindy,complete,2020-02-07,11:54
33,58,InformClientSurvey,System,complete,2020-02-08,23:20
34,813,TicketReady,System,complete,2020-02-09,7:44
35,619,SendTicketToFinAdmin,System,complete,2020-02-10,13:04
36,373,MakeTicket,Monica,complete,2020-02-11,5:38
37,253,ReadyInformClient,System,complete,2020-02-12,22:48
38,384,ReadyInformClient,System,complete,2020-02-13,10:47
39,109,RepairReady,System,complete,2020-02-14,12:24
41,66,ReadyInformClient,System,complete,2020-02-16,21:36
42,587,InformClientSurvey,System,complete,2020-02-17,17:05
44,25,InformClientSurvey,System,complete,2020-02-19,7:53
46,473,MakeTicket,Dian,complete,2020-02-21,19:47
47,581,ArrangeSurvey,Dian,complete,2020-02-22,19:56
49,130,TicketReady,System,complete,2020-02-24,6:57
50,974,MakeTicket,Monica,complete,2020-02-25,15:44
51,195,MakeTicket,Dian,complete,2020-02-26,11:08
52,39,SendTicketToFinAdmin,System,complete,2020-02-27,20:31
53,372,FirstContact,Monica,complete,2020-02-28,1:25
54,192,TicketReady,System,complete,2020-02-29,4:11
56,414,ArrangeSurvey,Dian,complete,2020-03-02,4:33
57,291,ArrangeSurvey,Monica,complete,2020-03-03,20:08
58,289,MakeTicket,Monica,complete,2020-03-04,14:55
59,868,MakeTicket,Monica,complete,2020-03-05,5:15
60,366,InformClientSurvey,System,complete,2020-03-06,0:20
62,591,Survey,Paul,complete,2020-03-08,22:38
63,857,SendTicketToFinAdmin,System,complete,2020-03-09,8:05
64,541,ArrangeSurvey,Monica,complete,2020-03-10,3:38
65,176,RepairReady,System,complete,2020-03-11,15:17
66,336,SendTicketToFinAdmin,System,complete,2020-03-12,11:06
69,220,RepairReady,System,complete,2020-03-15,22:11
71,936,InternRepair,Edd,complete,2020-03-17,22:15
72,585,InformClientSurvey,System,complete,2020-03-18,3:38
73,287,ReadyInformClient,System,complete,2020-03-19,14:07
75,444,RepairReady,System,complete,2020-03-21,18:14
76,153,Survey,Anne,complete,2020-03-22,3:43
77,452,Survey,Anne,complete,2020-03-23,18:52
79,409,SendTicketToFinAdmin,System,complete,2020-03-25,17:49
80,2,ImmediateRepair,Anne,complete,2020-03-26,6:57
81,319,RepairReady,System,complete,2020-03-27,19:04
82,982,RepairReady,System,complete,2020-03-28,22:36
83,604,InternRepair,Jacky,complete,2020-03-29,12:46
84,790,SendTicketToFinAdmin,System,complete,2020-03-30,6:59
85,89,InformClientSurvey,System,complete,2020-03-31,11:15
87,851,Survey,Lex,complete,2020-04-02,17:03
92,476,InformClientSurvey,System,complete,2020-04-07,20:10
93,114,ArrangeSurvey,Dian,complete,2020-04-08,7:10
94,137,MakeTicket,Monica,complete,2020-04-09,15:24
95,826,ArrangeSurvey,Monica,complete,2020-04-10,21:23
96,11,InformClientSurvey,System,complete,2020-04-11,6:58
97,420,InternRepair,Paul,complete,2020-04-12,11:27
98,398,ArrangeSurvey,Dian,complete,2020-04-13,10:23
101,160,MakeTicket,Monica,complete,2020-04-16,5:22
102,320,InformClientSurvey,System,complete,2020-04-17,6:47
103,36,SendTicketToFinAdmin,System,complete,2020-04-18,2:23
104,30,Survey,Anne,complete,2020-04-19,18:24
107,538,ImmediateRepair,Anne,complete,2020-04-22,6:09
110,337,ReadyInformClient,System,complete,2020-04-25,2:13
111,186,SendTicketToFinAdmin,System,complete,2020-04-26,11:37
112,636,ReadyInformClient,System,complete,2020-04-27,1:34
113,623,ArrangeSurvey,Monica,complete,2020-04-28,22:01
115,329,InternRepair,Eric,complete,2020-04-30,16:48
116,875,FirstContact,Monica,complete,2020-05-01,7:11
118,368,ReadyInformClient,System,complete,2020-05-03,1:22
120,763,ImmediateRepair,Anne,complete,2020-05-05,14:12
121,259,Survey,John,complete,2020-05-06,14:19
122,279,InternRepair,Cindy,complete,2020-05-07,11:08
125,515,TicketReady,System,complete,2020-05-10,17:33
126,406,RepairReady,System,complete,2020-05-11,23:03
127,479,MakeTicket,Dian,complete,2020-05-12,23:27
128,231,FirstContact,Monica,complete,2020-05-13,3:05
130,381,FirstContact,Dian,complete,2020-05-15,12:13
131,114,TicketReady,System,complete,2020-05-16,6:42
132,750,SendTicketToFinAdmin,System,complete,2020-05-17,1:44
133,575,TicketReady,System,complete,2020-05-18,10:22
134,551,MakeTicket,Dian,complete,2020-05-19,6:14
135,209,ArrangeSurvey,Dian,complete,2020-05-20,21:24
136,915,FirstContact,Monica,complete,2020-05-21,8:01
138,525,RepairReady,System,complete,2020-05-23,20:07
140,957,RepairReady,System,complete,2020-05-25,14:24
141,829,FirstContact,Monica,complete,2020-05-26,9:10
142,108,SendTicketToFinAdmin,System,complete,2020-05-27,0:33
143,732,TicketReady,System,complete,2020-05-28,13:56
146,32,MakeTicket,Monica,complete,2020-05-31,21:06
148,60,RepairReady,System,complete,2020-06-02,15:52
149,945,ArrangeSurvey,Dian,complete,2020-06-03,8:23
150,139,TicketReady,System,complete,2020-06-04,20:42
153,724,FirstContact,Dian,complete,2020-06-07,9:03
154,727,SendTicketToFinAdmin,System,complete,2020-06-08,10:33
155,418,SendTicketToFinAdmin,System,complete,2020-06-09,17:00
156,865,FirstContact,Dian,complete,2020-06-10,23:33
157,570,InternRepair,Eric,complete,2020-06-11,22:10
158,350,TicketReady,System,complete,2020-06-12,2:57
160,207,MakeTicket,Dian,complete,2020-06-14,8:50
161,796,RepairReady,System,complete,2020-06-15,8:31
162,888,InternRepair,Edd,complete,2020-06-16,23:14
163,489,ReadyInformClient,System,complete,2020-06-17,22:33
165,640,Survey,Anne,complete,2020-06-19,0:09
166,580,ArrangeSurvey,Monica,complete,2020-06-20,6:23
167,347,SendTicketToFinAdmin,System,complete,2020-06-21,4:09
168,265,RepairReady,System,complete,2020-06-22,18:39
169,205,ImmediateRepair,Jacky,complete,2020-06-23,11:34
170,137,TicketReady,System,complete,2020-06-24,19:53
171,185,ReadyInformClient,System,complete,2020-06-25,6:07
172,426,InternRepair,Paul,complete,2020-06-26,3:39
173,280,MakeTicket,Dian,complete,2020-06-27,23:13
174,560,FirstContact,Monica,complete,2020-06-28,1:19
175,957,ReadyInformClient,System,complete,2020-06-29,21:03
177,552,FirstContact,Monica,complete,2020-07-01,4:20
178,839,Survey,Nick,complete,2020-07-02,12:26
179,821,MakeTicket,Monica,complete,2020-07-03,1:02
180,376,Survey,Ben,complete,2020-07-04,20:25
182,537,Survey,Eric,complete,2020-07-06,4:39
183,919,FirstContact,Dian,complete,2020-07-07,23:26
184,128,ReadyInformClient,System,complete,2020-07-08,1:30
186,948,ReadyInformClient,System,complete,2020-07-10,16:04
189,617,SendTicketToFinAdmin,System,complete,2020-07-13,4:51
190,102,SendTicketToFinAdmin,System,complete,2020-07-14,19:26
191,919,ArrangeSurvey,Dian,complete,2020-07-15,23:36
192,518,MakeTicket,Dian,complete,2020-07-16,21:32
193,45,FirstContact,Monica,complete,2020-07-17,14:23
194,327,FirstContact,Dian,complete,2020-07-18,4:37
195,28,TicketReady,System,complete,2020-07-19,14:39
196,961,MakeTicket,Dian,complete,2020-07-20,16:43
197,476,MakeTicket,Dian,complete,2020-07-21,20:07
198,740,TicketReady,System,complete,2020-07-22,13:19
199,735,MakeTicket,Dian,complete,2020-07-23,3:56
200,920,InformClientSurvey,System,complete,2020-07-24,12:36
202,750,TicketReady,System,complete,2020-07-26,1:44
204,158,FirstContact,Monica,complete,2020-07-28,18:40
208,589,ArrangeSurvey,Monica,complete,2020-08-01,7:01
209,169,ArrangeSurvey,Dian,complete,2020-08-02,15:10
210,46,TicketReady,System,complete,2020-08-03,2:31
211,225,ArrangeSurvey,Dian,complete,2020-08-04,7:38
213,467,MakeTicket,Dian,complete,2020-08-06,22:34
214,555,ReadyInformClient,System,complete,2020-08-07,23:22
217,510,InternRepair,Cindy,complete,2020-08-10,23:22
218,171,RepairReady,System,complete,2020-08-11,9:06
219,196,InformClientWrongPlace,Monica,complete,2020-08-12,11:58
220,552,InternRepair,Lex,complete,2020-08-13,7:36
223,884,ReadyInformClient,System,complete,2020-08-16,6:10
225,841,MakeTicket,Monica,complete,2020-08-18,10:53
227,295,TicketReady,System,complete,2020-08-20,15:37
228,745,TicketReady,System,complete,2020-08-21,19:04
229,555,Survey,Anne,complete,2020-08-22,17:45
230,297,RepairReady,System,complete,2020-08-23,19:28
231,685,Survey,Anne,complete,2020-08-24,0:15
232,960,TicketReady,System,complete,2020-08-25,9:16
233,621,ReadyInformClient,System,complete,2020-08-26,3:02
234,454,RepairReady,System,complete,2020-08-27,22:41
235,945,ReadyInformClient,System,complete,2020-08-28,2:26
236,483,TicketReady,System,complete,2020-08-29,23:05
237,680,MakeTicket,Monica,complete,2020-08-30,11:33
238,931,TicketReady,System,complete,2020-08-31,23:22
240,976,TicketReady,System,complete,2020-09-02,11:08
242,903,SendTicketToFinAdmin,System,complete,2020-09-04,10:19
244,750,MakeTicket,Dian,complete,2020-09-06,6:10
246,360,ArrangeSurvey,Dian,complete,2020-09-08,3:20
247,294,ArrangeSurvey,Dian,complete,2020-09-09,0:58
248,244,FirstContact,Monica,complete,2020-09-10,4:13
249,639,SendTicketToFinAdmin,System,complete,2020-09-11,22:45
252,985,ArrangeSurvey,Monica,complete,2020-09-14,18:51
253,383,MakeTicket,Monica,complete,2020-09-15,4:57
255,710,RepairReady,System,complete,2020-09-17,15:10
256,382,SendTicketToFinAdmin,System,complete,2020-09-18,0:56
257,972,Survey,Anne,complete,2020-09-19,19:53
258,934,TicketReady,System,complete,2020-09-20,19:17
259,294,RepairReady,System,complete,2020-09-21,11:16
260,915,ReadyInformClient,System,complete,2020-09-22,10:35
262,325,MakeTicket,Dian,complete,2020-09-24,5:26
263,348,Survey,Barbara,complete,2020-09-25,17:18
264,104,SendTicketToFinAdmin,System,complete,2020-09-26,4:41
266,853,TicketReady,System,complete,2020-09-28,23:10
268,716,ArrangeSurvey,Dian,complete,2020-09-30,5:04
270,347,ReadyInformClient,System,complete,2020-10-02,1:43
271,88,FirstContact,Monica,complete,2020-10-03,0:56
272,408,Survey,Edd,complete,2020-10-04,6:03
273,742,TicketReady,System,complete,2020-10-05,9:07
274,579,ArrangeSurvey,Dian,complete,2020-10-06,17:46
275,908,InformClientSurvey,System,complete,2020-10-07,3:40
276,201,FirstContact,Dian,complete,2020-10-08,7:50
277,890,ArrangeSurvey,Monica,complete,2020-10-09,22:40
278,579,MakeTicket,Dian,complete,2020-10-10,9:14
279,994,InternRepair,John,complete,2020-10-11,9:25
280,628,SendTicketToFinAdmin,System,complete,2020-10-12,10:18
281,778,ArrangeSurvey,Monica,complete,2020-10-13,23:07
282,492,ArrangeSurvey,Monica,complete,2020-10-14,2:12
286,624,ArrangeSurvey,Monica,complete,2020-10-18,18:24
287,895,InformClientSurvey,System,complete,2020-10-19,10:17
288,628,InternRepair,Cindy,complete,2020-10-20,20:14
289,964,ArrangeSurvey,Dian,complete,2020-10-21,21:46
291,247,InformClientSurvey,System,complete,2020-10-23,13:37
292,694,ReadyInformClient,System,complete,2020-10-24,7:35
293,652,ArrangeSurvey,Dian,complete,2020-10-25,17:43
294,249,Survey,Anne,complete,2020-10-26,20:32
295,16,InformClientSurvey,System,complete,2020-10-27,14:50
296,662,TicketReady,System,complete,2020-10-28,8:44
297,76,RepairReady,System,complete,2020-10-29,0:39
298,424,ReadyInformClient,System,complete,2020-10-30,0:43
299,599,InternRepair,Cindy,complete,2020-10-31,5:48
300,804,RepairReady,System,complete,2020-11-01,1:05
301,599,InformClientSurvey,System,complete,2020-11-02,14:02
302,190,TicketReady,System,complete,2020-11-03,11:35
303,957,Survey,Anne,complete,2020-11-04,10:11
304,310,InformClientSurvey,System,complete,2020-11-05,3:01
305,170,InformClientSurvey,System,complete,2020-11-06,5:40
306,287,SendTicketToFinAdmin,System,complete,2020-11-07,17:58
307,155,MakeTicket,Monica,complete,2020-11-08,7:13
308,686,MakeTicket,Dian,complete,2020-11-09,20:48
309,300,ArrangeSurvey,Monica,complete,2020-11-10,22:14
312,547,TicketReady,System,complete,2020-11-13,19:51
313,473,ArrangeSurvey,Dian,complete,2020-11-14,6:25
316,248,InformClientSurvey,System,complete,2020-11-17,23:18
317,459,ArrangeSurvey,Dian,complete,2020-11-18,11:54
319,854,SendTicketToFinAdmin,System,complete,2020-11-20,9:10
321,519,InternRepair,John,complete,2020-11-22,13:59
322,23,InformClientSurvey,System,complete,2020-11-23,10:56
323,108,InternRepair,Paul,complete,2020-11-24,21:40
326,404,InternRepair,Anne,complete,2020-11-27,15:11
327,542,InformClientSurvey,System,complete,2020-11-28,16:40
329,179,ReadyInformClient,System,complete,2020-11-30,17:44
332,722,TicketReady,System,complete,2020-12-03,16:04
334,517,SendTicketToFinAdmin,System,complete,2020-12-05,11:36
335,265,SendTicketToFinAdmin,System,complete,2020-12-06,21:53
336,921,RepairReady,System,complete,2020-12-07,1:41
337,438,ArrangeSurvey,Monica,complete,2020-12-08,5:36
338,977,ReadyInformClient,System,complete,2020-12-09,20:05
342,476,ReadyInformClient,System,complete,2020-12-13,9:54
343,567,ReadyInformClient,System,complete,2020-12-14,10:27
346,324,MakeTicket,Dian,complete,2020-12-17,2:12
347,487,MakeTicket,Dian,complete,2020-12-18,12:50
348,259,FirstContact,Monica,complete,2020-12-19,13:06
351,116,Survey,Jacky,complete,2020-12-22,5:19
352,270,FirstContact,Dian,complete,2020-12-23,19:53
353,306,RepairReady,System,complete,2020-12-24,2:41
355,64,ArrangeSurvey,Monica,complete,2020-12-26,23:49
357,27,ImmediateRepair,Anne,complete,2020-12-28,4:08
360,501,RepairReady,System,complete,2020-12-31,6:44
361,56,TicketReady,System,complete,2021-01-01,10:52
362,968,ArrangeSurvey,Monica,complete,2021-01-02,11:04
363,655,TicketReady,System,complete,2021-01-03,2:18
364,927,InternRepair,Ben,complete,2021-01-04,23:02
365,263,TicketReady,System,complete,2021-01-05,4:16
370,557,InternRepair,Jacky,complete,2021-01-10,9:17
371,594,Survey,Edd,complete,2021-01-11,21:00
372,613,InformClientSurvey,System,complete,2021-01-12,18:56
373,870,InformClientSurvey,System,complete,2021-01-13,14:50
375,694,Survey,Barbara,complete,2021-01-15,0:30
376,427,InformClientSurvey,System,complete,2021-01-16,7:40
377,574,ReadyInformClient,System,complete,2021-01-17,20:26
378,269,FirstContact,Monica,complete,2021-01-18,2:52
379,533,MakeTicket,Monica,complete,2021-01-19,17:58
380,46,Survey,Paul,complete,2021-01-20,4:36
381,441,Survey,Paul,complete,2021-01-21,15:55
382,324,ArrangeSurvey,Dian,complete,2021-01-22,2:14
384,841,ArrangeSurvey,Monica,complete,2021-01-24,10:58
385,987,SendTicketToFinAdmin,System,complete,2021-01-25,15:04
387,775,Survey,Anne,complete,2021-01-27,10:43
388,155,RepairReady,System,complete,2021-01-28,18:11
389,947,MakeTicket,Monica,complete,2021-01-29,5:28
391,174,RepairReady,System,complete,2021-01-31,17:24
392,731,MakeTicket,Dian,complete,2021-02-01,5:26
393,792,RepairReady,System,complete,2021-02-02,0:30
394,411,RepairReady,System,complete,2021-02-03,15:03
395,75,ReadyInformClient,System,complete,2021-02-04,8:54
397,599,TicketReady,System,complete,2021-02-06,12:31
398,834,InformClientWrongPlace,Dian,complete,2021-02-07,1:27
399,80,Survey,Anne,complete,2021-02-08,14:07
402,964,SendTicketToFinAdmin,System,complete,2021-02-11,22:22
403,414,ImmediateRepair,Anne,complete,2021-02-12,21:49
406,259,ReadyInformClient,System,complete,2021-02-15,13:43
407,735,FirstContact,Dian,complete,2021-02-16,3:47
408,346,RepairReady,System,complete,2021-02-17,1:39
409,644,InternRepair,Cindy,complete,2021-02-18,20:18
411,666,FirstContact,Monica,complete,2021-02-20,12:15
417,707,Survey,Nick,complete,2021-02-26,0:58
418,292,MakeTicket,Monica,complete,2021-02-27,22:50
419,760,SendTicketToFinAdmin,System,complete,2021-02-28,12:50
420,210,MakeTicket,Dian,complete,2021-03-01,20:42
421,113,FirstContact,Dian,complete,2021-03-02,21:39
422,722,FirstContact,Monica,complete,2021-03-03,2:45
424,313,RepairReady,System,complete,2021-03-05,23:23
426,79,InternRepair,Cindy,complete,2021-03-07,16:40
428,977,TicketReady,System,complete,2021-03-09,21:01
430,316,SendTicketToFinAdmin,System,complete,2021-03-11,17:21
431,343,ArrangeSurvey,Monica,complete,2021-03-12,17:55
432,583,FirstContact,Monica,complete,2021-03-13,13:32
433,288,ReadyInformClient,System,complete,2021-03-14,20:59
435,955,MakeTicket,Dian,complete,2021-03-16,4:09
437,485,InformClientSurvey,System,complete,2021-03-18,14:21
438,865,ArrangeSurvey,Dian,complete,2021-03-19,23:42
439,789,ArrangeSurvey,Monica,complete,2021-03-20,5:19
442,373,ArrangeSurvey,Monica,complete,2021-03-23,5:40
