,caseID,DateTime,taskID,originator,eventtype,ArrangeSurvey,FirstContact,ImmediateRepair,InformClientSurvey,InformClientWrongPlace,InternRepair,MakeTicket,ReadyInformClient,RepairReady,SendTicketToFinAdmin,Survey,TicketReady
4035,1,2020-01-02 08:11:00,MakeTicket,Dian,complete,0,0,0,0,0,0,1,0,0,0,0,0
4561,1,2020-01-02 08:16:00,ArrangeSurvey,Dian,complete,1,0,0,0,0,0,0,0,0,0,0,0
9171,1,2020-01-02 08:16:00,InformClientSurvey,System,complete,0,0,0,1,0,0,0,0,0,0,0,0
3835,1,2020-01-11 21:56:00,Survey,Cindy,complete,0,0,0,0,0,0,0,0,0,0,1,0
1994,1,2020-01-17 08:12:00,InternRepair,John,complete,0,0,0,0,0,1,0,0,0,0,0,0
7465,1,2020-01-17 08:12:00,RepairReady,System,complete,0,0,0,0,0,0,0,0,1,0,0,0
5325,1,2020-01-17 14:03:00,SendTicketToFinAdmin,System,complete,0,0,0,0,0,0,0,0,0,1,0,0
3676,1,2020-01-17 15:44:00,ReadyInformClient,System,complete,0,0,0,0,0,0,0,1,0,0,0,0
12047,1,2020-01-17 15:44:00,TicketReady,System,complete,0,0,0,0,0,0,0,0,0,0,0,1
9321,2,2020-01-08 05:17:00,FirstContact,Dian,complete,0,1,0,0,0,0,0,0,0,0,0,0
1073,2,2020-01-08 05:21:00,MakeTicket,Dian,complete,0,0,0,0,0,0,1,0,0,0,0,0
2911,2,2020-01-08 05:25:00,ArrangeSurvey,Dian,complete,1,0,0,0,0,0,0,0,0,0,0,0
10505,2,2020-01-08 05:25:00,InformClientSurvey,System,complete,0,0,0,1,0,0,0,0,0,0,0,0
3425,2,2020-01-12 04:57:00,Survey,Anne,complete,0,0,0,0,0,0,0,0,0,0,1,0
4582,2,2020-01-12 11:17:00,ReadyInformClient,System,complete,0,0,0,0,0,0,0,1,0,0,0,0
3574,2,2020-01-12 15:14:00,SendTicketToFinAdmin,System,complete,0,0,0,0,0,0,0,0,0,1,0,0
5056,2,2020-01-12 15:14:00,TicketReady,System,complete,0,0,0,0,0,0,0,0,0,0,0,1
80,2,2020-03-26 06:57:00,ImmediateRepair,Anne,complete,0,0,1,0,0,0,0,0,0,0,0,0
495,2,2021-05-15 08:57:00,RepairReady,System,complete,0,0,0,0,0,0,0,0,1,0,0,0
3545,3,2020-01-03 01:03:00,FirstContact,Dian,complete,0,1,0,0,0,0,0,0,0,0,0,0
7528,3,2020-01-03 01:10:00,MakeTicket,Dian,complete,0,0,0,0,0,0,1,0,0,0,0,0
4480,3,2020-01-03 01:14:00,InformClientSurvey,System,complete,0,0,0,1,0,0,0,0,0,0,0,0
12999,3,2020-01-03 01:14:00,ArrangeSurvey,Dian,complete,1,0,0,0,0,0,0,0,0,0,0,0
8664,3,2020-01-06 06:47:00,Survey,Paul,complete,0,0,0,0,0,0,0,0,0,0,1,0
2749,3,2020-01-06 23:30:00,InternRepair,Paul,complete,0,0,0,0,0,1,0,0,0,0,0,0
11359,3,2020-01-06 23:30:00,RepairReady,System,complete,0,0,0,0,0,0,0,0,1,0,0,0
6945,3,2020-01-07 06:26:00,SendTicketToFinAdmin,System,complete,0,0,0,0,0,0,0,0,0,1,0,0
2162,3,2020-01-07 07:04:00,TicketReady,System,complete,0,0,0,0,0,0,0,0,0,0,0,1
7371,3,2020-01-07 07:04:00,ReadyInformClient,System,complete,0,0,0,0,0,0,0,1,0,0,0,0
8364,4,2020-01-03 08:23:00,FirstContact,Monica,complete,0,1,0,0,0,0,0,0,0,0,0,0
7280,4,2020-01-03 08:27:00,MakeTicket,Monica,complete,0,0,0,0,0,0,1,0,0,0,0,0
9331,4,2020-01-03 08:32:00,InformClientSurvey,System,complete,0,0,0,1,0,0,0,0,0,0,0,0
11414,4,2020-01-03 08:32:00,ArrangeSurvey,Monica,complete,1,0,0,0,0,0,0,0,0,0,0,0
11467,4,2020-01-04 17:42:00,Survey,Anne,complete,0,0,0,0,0,0,0,0,0,0,1,0
2528,4,2020-01-04 19:42:00,RepairReady,System,complete,0,0,0,0,0,0,0,0,1,0,0,0
4549,4,2020-01-04 19:42:00,ImmediateRepair,Anne,complete,0,0,1,0,0,0,0,0,0,0,0,0
5779,4,2020-01-04 20:56:00,ReadyInformClient,System,complete,0,0,0,0,0,0,0,1,0,0,0,0
4632,4,2020-01-04 23:35:00,SendTicketToFinAdmin,System,complete,0,0,0,0,0,0,0,0,0,1,0,0
6080,4,2020-01-04 23:35:00,TicketReady,System,complete,0,0,0,0,0,0,0,0,0,0,0,1
5144,5,2020-01-07 20:41:00,FirstContact,Monica,complete,0,1,0,0,0,0,0,0,0,0,0,0
12156,5,2020-01-07 20:47:00,MakeTicket,Monica,complete,0,0,0,0,0,0,1,0,0,0,0,0
3390,5,2020-01-07 20:52:00,ArrangeSurvey,Monica,complete,1,0,0,0,0,0,0,0,0,0,0,0
12860,5,2020-01-07 20:52:00,InformClientSurvey,System,complete,0,0,0,1,0,0,0,0,0,0,0,0
10278,5,2020-01-09 23:22:00,Survey,Anne,complete,0,0,0,0,0,0,0,0,0,0,1,0
9328,5,2020-01-10 01:10:00,RepairReady,System,complete,0,0,0,0,0,0,0,0,1,0,0,0
11289,5,2020-01-10 01:10:00,ImmediateRepair,Anne,complete,0,0,1,0,0,0,0,0,0,0,0,0
12164,5,2020-01-10 01:14:00,ReadyInformClient,System,complete,0,0,0,0,0,0,0,1,0,0,0,0
1693,5,2020-01-10 06:05:00,TicketReady,System,complete,0,0,0,0,0,0,0,0,0,0,0,1
9804,5,2020-01-10 06:05:00,SendTicketToFinAdmin,System,complete,0,0,0,0,0,0,0,0,0,1,0,0
4568,6,2020-01-03 02:29:00,InformClientWrongPlace,Monica,complete,0,0,0,0,1,0,0,0,0,0,0,0
13019,6,2020-01-03 02:29:00,FirstContact,Monica,complete,0,1,0,0,0,0,0,0,0,0,0,0
990,7,2020-01-07 09:21:00,FirstContact,Monica,complete,0,1,0,0,0,0,0,0,0,0,0,0
11385,7,2020-01-07 09:21:00,InformClientWrongPlace,Monica,complete,0,0,0,0,1,0,0,0,0,0,0,0
8014,8,2020-01-07 05:49:00,FirstContact,Monica,complete,0,1,0,0,0,0,0,0,0,0,0,0
1123,8,2020-01-07 05:55:00,MakeTicket,Monica,complete,0,0,0,0,0,0,1,0,0,0,0,0
12356,8,2020-01-07 06:00:00,ArrangeSurvey,Monica,complete,1,0,0,0,0,0,0,0,0,0,0,0
12449,8,2020-01-07 06:00:00,InformClientSurvey,System,complete,0,0,0,1,0,0,0,0,0,0,0,0
10578,8,2020-01-14 02:14:00,Survey,Jacky,complete,0,0,0,0,0,0,0,0,0,0,1,0
3206,8,2020-01-14 04:14:00,ImmediateRepair,Jacky,complete,0,0,1,0,0,0,0,0,0,0,0,0
4580,8,2020-01-14 08:03:00,ReadyInformClient,System,complete,0,0,0,0,0,0,0,1,0,0,0,0
